,,,,instant,0,1,2,3,(0-2),(1-3),(1-2),(2-3)
,,,,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,,,,2,0.010,0.000,0.001,0.000,0.003,0.000,0.003,0.000
,,,,3,0.020,0.000,0.001,0.001,0.010,0.000,0.003,0.001
,,,,4,0.040,0.000,0.002,0.005,0.030,0.000,0.007,0.003
,,,,5,0.050,0.010,0.003,0.008,0.043,0.000,0.013,0.004
,,,,6,0.060,0.010,0.002,0.011,0.053,0.000,0.010,0.005
,,,,7,0.050,0.010,0.004,0.012,0.057,0.000,0.017,0.006
,,,,8,0.070,0.010,0.003,0.015,0.073,0.000,0.013,0.007
,,,,9,0.110,0.010,0.003,0.017,0.100,0.000,0.013,0.010
,,,,10,0.100,0.010,0.006,0.020,0.100,0.000,0.023,0.010
,,,,11,0.140,0.010,0.012,0.029,0.137,0.000,0.043,0.014
,,,,12,0.190,0.030,0.015,0.029,0.170,0.000,0.060,0.017
,,,,13,0.170,0.050,0.017,0.032,0.163,0.000,0.073,0.016
,,,,14,0.220,0.060,0.022,0.044,0.220,0.000,0.083,0.022
,,,,15,0.290,0.100,0.027,0.039,0.203,0.000,0.113,0.020
,,,,16,0.230,0.100,0.031,0.052,0.267,0.000,0.133,0.027
,,,,17,0.280,0.100,0.015,0.037,0.210,0.000,0.083,0.021
,,,,18,0.180,0.110,0.017,0.045,0.247,0.000,0.107,0.025
,,,,19,0.200,0.070,0.016,0.045,0.207,0.000,0.077,0.021
,,,,20,0.170,0.080,0.020,0.045,0.207,0.000,0.097,0.021
,,,,21,0.260,0.070,0.011,0.052,0.273,0.000,0.060,0.027
,,,,22,0.340,0.100,0.012,0.049,0.283,0.000,0.073,0.028
,,,,23,0.440,0.100,0.007,0.044,0.293,0.000,0.057,0.029
,,,,24,0.520,0.160,0.009,0.042,0.280,0.000,0.087,0.028
,,,,25,0.440,0.110,0.015,0.049,0.307,0.000,0.093,0.031
,,,,26,0.460,0.170,0.019,0.055,0.330,0.000,0.120,0.033
,,,,27,0.420,0.170,0.023,0.065,0.370,0.000,0.143,0.037
,,,,28,0.290,0.150,0.029,0.067,0.303,0.000,0.140,0.030
,,,,29,0.350,0.140,0.031,0.070,0.350,0.000,0.150,0.035
,,,,30,0.360,0.130,0.036,0.070,0.353,0.000,0.163,0.035
,,,,31,0.310,0.120,0.043,0.082,0.387,0.000,0.190,0.039
,,,,32,0.370,0.130,0.044,0.073,0.330,0.000,0.183,0.033
,,,,33,0.470,0.080,0.036,0.075,0.360,0.000,0.150,0.036
,,,,34,0.390,0.050,0.042,0.072,0.353,0.000,0.157,0.035
,,,,35,0.380,0.080,0.047,0.074,0.367,0.000,0.183,0.037
,,,,36,0.390,0.140,0.049,0.078,0.387,0.000,0.210,0.039
,,,,37,0.350,0.140,0.037,0.087,0.407,0.000,0.170,0.041
,,,,38,0.360,0.150,0.031,0.103,0.510,0.000,0.153,0.051
,,,,39,0.420,0.160,0.045,0.074,0.380,0.000,0.220,0.038
,,,,40,0.420,0.160,0.033,0.077,0.393,0.000,0.163,0.039
,,,,41,0.500,0.190,0.036,0.093,0.473,0.000,0.187,0.047
,,,,42,0.520,0.170,0.032,0.077,0.420,0.000,0.163,0.042
,,,,43,0.570,0.200,0.038,0.077,0.443,0.000,0.217,0.044
,,,,44,0.560,0.120,0.046,0.086,0.467,0.000,0.177,0.047
,,,,45,0.400,0.130,0.046,0.098,0.407,0.000,0.203,0.041
,,,,46,0.480,0.130,0.039,0.091,0.480,0.000,0.170,0.048
,,,,47,0.330,0.170,0.044,0.115,0.447,0.000,0.203,0.045
,,,,48,0.430,0.260,0.053,0.097,0.490,0.000,0.260,0.049
,,,,49,0.550,0.310,0.061,0.101,0.603,0.000,0.303,0.060
,,,,50,0.460,0.240,0.054,0.101,0.537,0.000,0.243,0.054
,,,,51,0.510,0.250,0.066,0.091,0.497,0.000,0.293,0.050
,,,,52,0.550,0.200,0.046,0.103,0.517,0.000,0.213,0.052
,,,,53,0.490,0.190,0.055,0.123,0.593,0.000,0.270,0.059
,,,,54,0.550,0.180,0.048,0.114,0.577,0.000,0.233,0.058
,,,,55,0.640,0.230,0.044,0.087,0.490,0.000,0.220,0.049
,,,,56,0.580,0.280,0.058,0.115,0.527,0.000,0.290,0.053
,,,,57,0.570,0.240,0.043,0.112,0.597,0.000,0.223,0.060
,,,,58,0.670,0.250,0.051,0.133,0.727,0.000,0.277,0.073
,,,,59,0.780,0.240,0.050,0.094,0.583,0.000,0.263,0.058
,,,,60,0.800,0.210,0.045,0.102,0.657,0.000,0.200,0.066
,,,,61,0.610,0.280,0.043,0.125,0.647,0.000,0.243,0.065
,,,,62,0.750,0.290,0.039,0.111,0.597,0.000,0.223,0.060
,,,,63,0.680,0.330,0.040,0.092,0.517,0.000,0.257,0.052
,,,,64,0.580,0.260,0.046,0.100,0.533,0.000,0.260,0.053
,,,,65,0.550,0.280,0.048,0.104,0.523,0.000,0.257,0.052
,,,,66,0.460,0.240,0.067,0.106,0.503,0.000,0.320,0.050
,,,,67,0.400,0.260,0.078,0.105,0.473,0.000,0.380,0.047
,,,,68,0.510,0.290,0.068,0.105,0.523,0.000,0.327,0.052
,,,,69,0.680,0.360,0.064,0.131,0.667,0.000,0.330,0.067
,,,,70,0.760,0.310,0.073,0.127,0.650,0.000,0.347,0.065
,,,,71,0.620,0.290,0.069,0.107,0.573,0.000,0.320,0.057
,,,,72,0.530,0.270,0.066,0.118,0.640,0.000,0.307,0.064
,,,,73,0.590,0.280,0.061,0.106,0.560,0.000,0.283,0.056
,,,,74,0.680,0.280,0.061,0.093,0.517,0.000,0.280,0.052
,,,,75,0.400,0.300,0.049,0.077,0.390,0.000,0.263,0.039
,,,,76,0.500,0.360,0.058,0.086,0.437,0.000,0.310,0.044
,,,,77,0.370,0.310,0.065,0.102,0.420,0.000,0.320,0.042
,,,,78,0.330,0.340,0.066,0.098,0.430,0.000,0.333,0.043
,,,,79,0.300,0.360,0.079,0.092,0.400,0.000,0.367,0.040
,,,,80,0.410,0.360,0.095,0.097,0.497,0.000,0.440,0.050
,,,,81,0.290,0.370,0.083,0.107,0.413,0.000,0.403,0.041
,,,,82,0.370,0.280,0.076,0.080,0.387,0.000,0.360,0.039
,,,,83,0.520,0.260,0.064,0.077,0.417,0.000,0.300,0.042
,,,,84,0.530,0.330,0.070,0.098,0.510,0.000,0.340,0.051
,,,,85,0.550,0.330,0.068,0.078,0.437,0.000,0.333,0.044
,,,,86,0.620,0.390,0.064,0.097,0.523,0.000,0.340,0.052
,,,,87,0.530,0.490,0.069,0.080,0.470,0.000,0.387,0.047
,,,,88,0.480,0.430,0.056,0.084,0.430,0.000,0.310,0.043
,,,,89,0.490,0.380,0.053,0.070,0.383,0.000,0.290,0.038
,,,,90,0.470,0.330,0.068,0.071,0.360,0.000,0.370,0.036
,,,,91,0.370,0.330,0.054,0.060,0.317,0.000,0.290,0.032
,,,,92,0.350,0.310,0.052,0.057,0.287,0.000,0.287,0.029
,,,,93,0.310,0.390,0.056,0.065,0.290,0.000,0.303,0.029
,,,,94,0.310,0.430,0.053,0.067,0.357,0.000,0.320,0.036
,,,,95,0.330,0.330,0.057,0.080,0.417,0.000,0.293,0.042
,,,,96,0.400,0.380,0.067,0.071,0.363,0.000,0.347,0.036
,,,,97,0.320,0.410,0.084,0.067,0.327,0.000,0.413,0.033
,,,,98,0.300,0.210,0.070,0.060,0.297,0.000,0.303,0.030
,,,,99,0.440,0.190,0.068,0.056,0.317,0.000,0.297,0.032
,,,,100,0.460,0.170,0.050,0.046,0.290,0.000,0.217,0.029
,,,,101,0.430,0.160,0.054,0.055,0.333,0.000,0.233,0.033
,,,,102,0.420,0.250,0.059,0.043,0.283,0.000,0.277,0.028
,,,,103,0.380,0.350,0.064,0.041,0.250,0.000,0.323,0.025
,,,,104,0.290,0.400,0.063,0.041,0.257,0.000,0.387,0.026
,,,,105,0.240,0.370,0.063,0.047,0.213,0.000,0.317,0.021
,,,,106,0.190,0.290,0.054,0.036,0.197,0.000,0.277,0.020
,,,,107,0.260,0.390,0.053,0.040,0.263,0.000,0.310,0.026
,,,,108,0.160,0.320,0.055,0.040,0.177,0.000,0.283,0.018
,,,,109,0.180,0.330,0.051,0.035,0.173,0.000,0.263,0.017
,,,,110,0.190,0.200,0.058,0.036,0.180,0.000,0.243,0.018
,,,,111,0.230,0.270,0.058,0.031,0.170,0.000,0.277,0.017
,,,,112,0.240,0.250,0.060,0.033,0.180,0.000,0.283,0.018
,,,,113,0.110,0.320,0.067,0.027,0.123,0.000,0.340,0.012
,,,,114,0.100,0.380,0.054,0.021,0.100,0.000,0.290,0.010
,,,,115,0.090,0.350,0.061,0.025,0.113,0.000,0.340,0.011
,,,,116,0.080,0.400,0.051,0.015,0.077,0.000,0.283,0.008
,,,,117,0.060,0.330,0.050,0.015,0.077,0.000,0.260,0.008
,,,,118,0.050,0.300,0.049,0.017,0.083,0.000,0.257,0.008
,,,,119,0.050,0.370,0.055,0.006,0.030,0.000,0.320,0.003
,,,,120,0.010,0.300,0.056,0.003,0.013,0.000,0.283,0.001
,,,,121,0.010,0.230,0.056,0.002,0.010,0.000,0.257,0.001
,,,,122,0.010,0.230,0.054,0.001,0.007,0.000,0.257,0.001
,,,,123,0.030,0.270,0.057,0.001,0.013,0.000,0.267,0.001
,,,,124,0.030,0.260,0.052,0.004,0.023,0.000,0.263,0.002
,,,,125,0.020,0.310,0.055,0.009,0.037,0.000,0.287,0.004
,,,,126,0.010,0.260,0.044,0.012,0.043,0.000,0.233,0.004
,,,,127,0.030,0.330,0.042,0.014,0.057,0.000,0.243,0.006
,,,,128,0.070,0.320,0.042,0.012,0.063,0.000,0.247,0.006
,,,,129,0.080,0.300,0.050,0.017,0.083,0.000,0.250,0.008
,,,,130,0.120,0.290,0.045,0.016,0.090,0.000,0.237,0.009
,,,,131,0.090,0.290,0.050,0.018,0.087,0.000,0.267,0.009
,,,,132,0.120,0.260,0.046,0.023,0.113,0.000,0.237,0.011
,,,,133,0.160,0.270,0.040,0.028,0.143,0.000,0.240,0.014
,,,,134,0.130,0.260,0.046,0.034,0.157,0.000,0.237,0.016
,,,,135,0.150,0.300,0.049,0.037,0.190,0.000,0.257,0.019
,,,,136,0.180,0.300,0.060,0.050,0.220,0.000,0.310,0.022
,,,,137,0.180,0.340,0.052,0.055,0.243,0.000,0.277,0.024
,,,,138,0.190,0.380,0.053,0.050,0.230,0.000,0.347,0.023
,,,,139,0.290,0.240,0.068,0.048,0.247,0.000,0.307,0.025
,,,,140,0.220,0.190,0.068,0.049,0.200,0.000,0.267,0.020
,,,,141,0.290,0.210,0.071,0.044,0.237,0.000,0.270,0.024
,,,,142,0.310,0.140,0.084,0.045,0.243,0.000,0.323,0.024
,,,,143,0.410,0.180,0.034,0.054,0.307,0.000,0.187,0.031
,,,,144,0.460,0.180,0.030,0.046,0.320,0.000,0.160,0.032
,,,,145,0.350,0.160,0.028,0.063,0.327,0.000,0.147,0.033
,,,,146,0.380,0.140,0.028,0.067,0.340,0.000,0.140,0.034
,,,,147,0.460,0.180,0.033,0.069,0.347,0.000,0.170,0.035
,,,,148,0.390,0.180,0.029,0.069,0.380,0.000,0.153,0.038
,,,,149,0.300,0.160,0.032,0.073,0.320,0.000,0.163,0.032
,,,,150,0.380,0.210,0.024,0.057,0.297,0.000,0.150,0.030
,,,,151,0.320,0.230,0.024,0.065,0.320,0.000,0.133,0.032
,,,,152,0.390,0.190,0.024,0.066,0.360,0.000,0.140,0.036
,,,,153,0.400,0.220,0.025,0.086,0.427,0.000,0.173,0.043
,,,,154,0.530,0.170,0.032,0.080,0.427,0.000,0.150,0.043
,,,,155,0.500,0.180,0.029,0.083,0.437,0.000,0.157,0.044
,,,,156,0.470,0.210,0.029,0.089,0.473,0.000,0.167,0.047
,,,,157,0.570,0.190,0.029,0.098,0.583,0.000,0.160,0.058
,,,,158,0.480,0.230,0.033,0.093,0.460,0.000,0.190,0.046
,,,,159,0.490,0.200,0.030,0.089,0.440,0.000,0.163,0.044
,,,,160,0.660,0.120,0.030,0.092,0.563,0.000,0.140,0.056
,,,,161,0.510,0.130,0.029,0.092,0.480,0.000,0.150,0.048
,,,,162,0.570,0.030,0.030,0.097,0.500,0.000,0.097,0.050
,,,,163,0.570,0.060,0.025,0.115,0.610,0.000,0.103,0.061
,,,,164,0.560,0.050,0.022,0.090,0.507,0.000,0.090,0.051
,,,,165,0.570,0.080,0.017,0.103,0.527,0.000,0.083,0.053
,,,,166,0.510,0.030,0.017,0.113,0.500,0.000,0.083,0.050
,,,,167,0.560,0.040,0.019,0.094,0.477,0.000,0.093,0.048
,,,,168,0.660,0.040,0.009,0.086,0.543,0.000,0.043,0.054
,,,,169,0.460,0.030,0.011,0.089,0.450,0.000,0.057,0.045
,,,,170,0.460,0.040,0.010,0.088,0.440,0.000,0.047,0.044
,,,,171,0.400,0.050,0.011,0.082,0.413,0.000,0.053,0.041
,,,,172,0.490,0.050,0.007,0.093,0.477,0.000,0.043,0.048
,,,,173,0.610,0.070,0.006,0.110,0.587,0.000,0.043,0.059
,,,,174,0.770,0.080,0.008,0.081,0.483,0.000,0.053,0.048
,,,,175,0.820,0.080,0.010,0.094,0.623,0.000,0.053,0.062
,,,,176,0.570,0.080,0.011,0.115,0.587,0.000,0.057,0.059
,,,,177,0.400,0.030,0.012,0.107,0.540,0.000,0.037,0.054
,,,,178,0.360,0.010,0.008,0.135,0.670,0.000,0.020,0.067
,,,,179,0.430,0.010,0.005,0.100,0.477,0.000,0.013,0.048
,,,,180,0.580,0.020,0.003,0.112,0.547,0.000,0.017,0.055
,,,,181,0.680,0.020,0.003,0.110,0.693,0.000,0.017,0.069
,,,,182,0.600,0.020,0.001,0.114,0.577,0.000,0.017,0.058
,,,,183,0.570,0.010,0.003,0.142,0.707,0.000,0.013,0.071
,,,,184,0.680,0.020,0.005,0.130,0.663,0.000,0.023,0.066
,,,,185,0.600,0.020,0.005,0.116,0.557,0.000,0.023,0.056
,,,,186,0.710,0.020,0.005,0.088,0.637,0.000,0.023,0.064
,,,,187,0.620,0.040,0.005,0.096,0.513,0.000,0.030,0.051
,,,,188,0.670,0.040,0.006,0.079,0.467,0.000,0.033,0.047
,,,,189,0.640,0.030,0.006,0.108,0.597,0.000,0.033,0.060
,,,,190,0.750,0.040,0.009,0.085,0.483,0.000,0.047,0.048
,,,,191,0.610,0.040,0.009,0.094,0.517,0.000,0.050,0.052
,,,,192,0.580,0.050,0.013,0.112,0.520,0.000,0.070,0.052
,,,,193,0.620,0.030,0.014,0.109,0.547,0.000,0.057,0.055
