selected,total,duration,solving_time,instant,1,2,3,4,"(1, 3)","(2, 3)","(3, 4)","(4, 2)","(3, 1)","(3, 2)","(4, 3)","(2, 4)"
0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.51,0.39,0.028,0.079,0.0,0.0,0.085,0.345,0.57,0.25,0.052,0.0
0.0,0.0,0.0,0.0,0.5,0.73,0.73,0.071,0.177,0.08,0.005,0.177,0.66,0.805,0.495,0.072,0.005
0.0,0.0,0.0,0.0,1.0,0.72,0.73,0.119,0.304,0.22,0.045,0.268,0.59,0.8,0.565,0.064,0.105
0.0,0.0,0.0,0.0,1.5,0.71,0.71,0.171,0.429,0.35,0.095,0.357,0.52,0.8,0.625,0.063,0.205
0.0,0.0,0.0,0.0,2.0,0.7,0.7,0.208,0.539,0.455,0.135,0.428,0.485,0.805,0.625,0.056,0.27
0.0,0.0,0.0,0.0,2.5,0.69,0.68,0.249,0.646,0.56,0.19,0.499,0.48,0.79,0.575,0.049,0.33
0.0,0.0,0.0,0.0,3.0,0.69,0.68,0.293,0.698,0.595,0.235,0.516,0.48,0.74,0.575,0.104,0.385
0.0,0.0,0.0,0.0,3.5,0.71,0.72,0.355,0.726,0.625,0.29,0.498,0.545,0.725,0.555,0.192,0.41
0.0,0.0,0.0,0.0,4.0,0.69,0.7,0.429,0.717,0.655,0.345,0.444,0.5,0.7,0.535,0.319,0.43
0.0,0.0,0.0,0.0,4.5,0.65,0.68,0.512,0.701,0.71,0.39,0.393,0.435,0.675,0.535,0.461,0.475
0.0,0.0,0.0,0.0,5.0,0.62,0.62,0.578,0.644,0.72,0.435,0.321,0.515,0.6,0.345,0.572,0.455
0.0,0.0,0.0,0.0,5.5,0.61,0.6,0.615,0.61,0.71,0.45,0.264,0.56,0.65,0.255,0.645,0.44
0.0,0.0,0.0,0.0,6.0,0.61,0.61,0.615,0.609,0.705,0.43,0.262,0.57,0.7,0.31,0.643,0.445
0.0,0.0,0.0,0.0,6.5,0.61,0.6,0.615,0.61,0.71,0.44,0.263,0.615,0.765,0.295,0.633,0.44
0.0,0.0,0.0,0.0,7.0,0.61,0.61,0.615,0.609,0.725,0.43,0.267,0.655,0.74,0.35,0.628,0.435
0.0,0.0,0.0,0.0,7.5,0.61,0.61,0.614,0.61,0.725,0.415,0.248,0.585,0.74,0.405,0.639,0.46
0.0,0.0,0.0,0.0,8.0,0.61,0.6,0.615,0.61,0.72,0.42,0.231,0.535,0.855,0.43,0.666,0.475
0.0,0.0,0.0,0.0,8.5,0.61,0.61,0.615,0.609,0.725,0.415,0.223,0.48,0.815,0.435,0.68,0.475
0.0,0.0,0.0,0.0,9.0,0.61,0.6,0.615,0.61,0.71,0.42,0.211,0.435,0.83,0.43,0.677,0.48
0.0,0.0,0.0,0.0,9.5,0.6,0.6,0.616,0.61,0.705,0.42,0.201,0.445,0.82,0.43,0.679,0.475
0.0,0.0,0.0,0.0,10.0,0.61,0.61,0.615,0.609,0.695,0.39,0.181,0.405,0.84,0.575,0.69,0.48
0.0,0.0,0.0,0.0,10.5,0.57,0.43,0.521,0.528,0.545,0.35,0.148,0.27,0.79,0.49,0.609,0.43
0.0,0.0,0.0,0.0,11.0,0.46,0.34,0.44,0.432,0.43,0.31,0.1,0.185,0.61,0.405,0.534,0.36
0.0,0.0,0.0,0.0,11.5,0.41,0.31,0.356,0.35,0.315,0.25,0.07,0.18,0.55,0.36,0.465,0.3
0.0,0.0,0.0,0.0,12.0,0.28,0.25,0.274,0.277,0.225,0.21,0.043,0.145,0.385,0.255,0.38,0.245
0.0,0.0,0.0,0.0,12.5,0.24,0.22,0.208,0.205,0.155,0.18,0.026,0.145,0.295,0.2,0.307,0.19
0.0,0.0,0.0,0.0,13.0,0.15,0.19,0.142,0.138,0.1,0.14,0.016,0.115,0.145,0.155,0.225,0.14
0.0,0.0,0.0,0.0,13.5,0.15,0.16,0.099,0.088,0.06,0.1,0.009,0.085,0.145,0.15,0.166,0.09
0.0,0.0,0.0,0.0,14.0,0.09,0.13,0.055,0.045,0.035,0.06,0.005,0.055,0.095,0.105,0.101,0.04
0.0,0.0,0.0,0.0,14.5,0.06,0.1,0.024,0.021,0.015,0.015,0.002,0.01,0.05,0.105,0.051,0.02
0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
