selected,total,duration,solving_time,instant,1,2,3,4,5,7,8,9,10,11,12,13,14,15,16,17,18,"(1, 9)","(2, 10)","(3, 11)","(9, 1)","(10, 2)","(11, 3)","(12, 4)","(13, 5)","(15, 7)","(16, 8)","(10, 9)","(9, 10)","(11, 10)","(10, 11)","(12, 11)","(11, 12)","(13, 12)","(12, 13)","(14, 13)","(13, 14)","(15, 14)","(14, 15)","(16, 15)","(15, 16)","(9, 16)","(16, 9)","(10, 17)","(17, 10)","(12, 17)","(17, 12)","(14, 17)","(17, 14)","(16, 17)","(17, 16)","(10, 18)","(18, 10)","(12, 18)","(18, 12)","(14, 18)","(18, 14)","(16, 18)","(18, 16)"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
0.0,0.0,0.0,0.0,1.0,0.9,0.0,0.0,0.0,0.0,0.0,0.4,0.88,0.82,0.82,0.34,0.58,0.6,0.82,0.86,0.046,0.046,"0.672","0.0","0.0","0.09","0.0","0.0","0.0","0.0","0.0","0.048","0.0","0.192","0.02","0.041","0.0","0.0","0.0","0.0","0.029","0.005","0.059","0.035","0.1","0.055","0.215","0.23","0.0","0.0","0.006","0.0","0.005","0.0","0.0166","0.0","0.0","0.0","0.007","0.0034","0.004","0.0","0.02","0.0"
0.0,0.0,0.0,0.0,11.0,0.9,0.0,0.0,0.0,0.0,0.0,0.4,0.88,0.82,0.82,0.34,0.58,0.6,0.82,0.86,0.046,0.046,"0.672","0.0","0.0","0.09","0.0","0.0","0.0","0.0","0.0","0.048","0.0","0.192","0.02","0.041","0.0","0.0","0.0","0.0","0.029","0.005","0.059","0.035","0.1","0.055","0.215","0.23","0.0","0.0","0.006","0.0","0.005","0.0","0.0166","0.0","0.0","0.0","0.007","0.0034","0.004","0.0","0.02","0.0"
0.0,0.0,0.0,0.0,21.0,0.9,0.0,0.0,0.0,0.0,0.0,0.4,0.88,0.82,0.82,0.34,0.58,0.6,0.82,0.86,0.046,0.046,"0.672","0.0","0.0","0.09","0.0","0.0","0.0","0.0","0.0","0.048","0.0","0.192","0.02","0.041","0.0","0.0","0.0","0.0","0.029","0.005","0.059","0.035","0.1","0.055","0.215","0.23","0.0","0.0","0.006","0.0","0.005","0.0","0.0166","0.0","0.0","0.0","0.007","0.0034","0.004","0.0","0.02","0.0"
0.0,0.0,0.0,0.0,31.0,0.9,0.0,0.0,0.0,0.0,0.0,0.4,0.88,0.82,0.82,0.34,0.58,0.6,0.82,0.86,0.046,0.046,"0.672","0.0","0.0","0.09","0.0","0.0","0.0","0.0","0.0","0.048","0.0","0.192","0.02","0.041","0.0","0.0","0.0","0.0","0.029","0.005","0.059","0.035","0.1","0.055","0.215","0.23","0.0","0.0","0.006","0.0","0.005","0.0","0.0166","0.0","0.0","0.0","0.007","0.0034","0.004","0.0","0.02","0.0"
0.0,0.0,0.0,0.0,41.0,0.9,0.0,0.0,0.0,0.0,0.0,0.4,0.88,0.82,0.82,0.34,0.58,0.6,0.82,0.86,0.046,0.046,"0.672","0.0","0.0","0.09","0.0","0.0","0.0","0.0","0.0","0.048","0.0","0.192","0.02","0.041","0.0","0.0","0.0","0.0","0.029","0.005","0.059","0.035","0.1","0.055","0.215","0.23","0.0","0.0","0.006","0.0","0.005","0.0","0.0166","0.0","0.0","0.0","0.007","0.0034","0.004","0.0","0.02","0.0"
0.0,0.0,0.0,0.0,51.0,0.9,0.8,0.5,0.0,0.0,0.5,0.0,0.9,0.86,0.86,0.6,0.68,0.54,0.86,0.86,0.354,0.356,"0.682","0.674","0.0","0.1","0.08","0.06","0.0","0.0","0.06","0.0","0.099","0.351","0.065","0.109","0.03","0.236","0.03","0.031","0.003","0.175","0.013","0.0","0.051","0.125","0.244","0.025","0.0524","0.0","0.04","0.0","0.05","0.0","0.07","0.0","0.057","0.0","0.04","0.0","0.05","0.0054","0.072","0.0"
0.0,0.0,0.0,0.0,61.0,0.9,0.8,0.5,0.0,0.0,0.5,0.0,0.9,0.86,0.86,0.6,0.68,0.54,0.86,0.86,0.354,0.356,"0.682","0.674","0.0","0.1","0.08","0.06","0.0","0.0","0.06","0.0","0.099","0.351","0.065","0.109","0.03","0.236","0.03","0.031","0.003","0.175","0.013","0.0","0.051","0.125","0.244","0.025","0.0524","0.0","0.04","0.0","0.05","0.0","0.07","0.0","0.057","0.0","0.04","0.0","0.05","0.0054","0.072","0.0"
0.0,0.0,0.0,0.0,71.0,0.9,0.8,0.5,0.0,0.0,0.5,0.0,0.9,0.86,0.86,0.6,0.68,0.54,0.86,0.86,0.354,0.356,"0.682","0.674","0.0","0.1","0.08","0.06","0.0","0.0","0.06","0.0","0.099","0.351","0.065","0.109","0.03","0.236","0.03","0.031","0.003","0.175","0.013","0.0","0.051","0.125","0.244","0.025","0.0524","0.0","0.04","0.0","0.05","0.0","0.07","0.0","0.057","0.0","0.04","0.0","0.05","0.0054","0.072","0.0"
0.0,0.0,0.0,0.0,81.0,0.9,0.8,0.5,0.0,0.0,0.5,0.0,0.9,0.86,0.86,0.6,0.68,0.54,0.86,0.86,0.354,0.356,"0.682","0.674","0.0","0.1","0.08","0.06","0.0","0.0","0.06","0.0","0.099","0.351","0.065","0.109","0.03","0.236","0.03","0.031","0.003","0.175","0.013","0.0","0.051","0.125","0.244","0.025","0.0524","0.0","0.04","0.0","0.05","0.0","0.07","0.0","0.057","0.0","0.04","0.0","0.05","0.0054","0.072","0.0"
