selected,total,duration,solving_time,1,2,3,4,5,6,"(1, 2)","(1, 3)","(2, 3)","(2, 4)","(3, 5)","(4, 5)","(4, 6)","(5, 6)"
2.0,6.0,0.005433082580566406,4.8160552978515625e-5,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.04,0.0
2.0,3.940408163265306,2.4080276489257812e-5,2.09808349609375e-5,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.059,0.04,0.0,0.0,0.04,0.0
2.0,5.852631578947369,1.7881393432617188e-5,1.6927719116210938e-5,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.059,0.099,0.0,0.0,0.04,0.0
4.0,5.713877913429522,1.811981201171875e-5,1.71661376953125e-5,0.0,0.09,0.0,0.03,0.0,0.0,0.0,0.0,0.113,0.099,0.0,0.0,0.04,0.0
3.0,5.51647816832757,1.6927719116210938e-5,1.6927719116210938e-5,0.0,0.09,0.02,0.03,0.0,0.0,0.0,0.0,0.113,0.133,0.0,0.0,0.04,0.0
3.0,3.940408163265306,1.71661376953125e-5,1.71661376953125e-5,0.0,0.09,0.03,0.03,0.0,0.0,0.0,0.0,0.113,0.133,0.066,0.0,0.04,0.0
5.0,5.806663811563169,1.9073486328125e-5,1.9073486328125e-5,0.0,0.09,0.03,0.03,0.02,0.0,0.0,0.0,0.113,0.133,0.066,0.0,0.04,0.0
4.0,3.532330372537129,1.7881393432617188e-5,1.6927719116210938e-5,0.0,0.09,0.03,0.07,0.02,0.0,0.0,0.0,0.113,0.133,0.066,0.0,0.04,0.0
4.0,3.795268817204301,1.5974044799804688e-5,1.5020370483398438e-5,0.0,0.09,0.03,0.09,0.02,0.0,0.0,0.0,0.113,0.133,0.066,0.059,0.04,0.0
5.0,1.940408163265306,1.5974044799804688e-5,1.5020370483398438e-5,0.0,0.09,0.03,0.09,0.06,0.0,0.0,0.0,0.113,0.133,0.066,0.059,0.04,0.0
4.0,5.360303636386682,0.09642386436462402,0.00010180473327636719,0.0,0.09,0.03,0.11,0.06,0.0,0.0,0.0,0.113,0.133,0.066,0.059,0.08,0.0
3.0,3.586323550947826,5.412101745605469e-5,4.8160552978515625e-5,0.0,0.09,0.06,0.11,0.06,0.0,0.0,0.0,0.113,0.133,0.066,0.059,0.08,0.0
4.0,5.30499804310356,4.601478576660156e-5,4.315376281738281e-5,0.0,0.09,0.06,0.15,0.06,0.0,0.0,0.0,0.113,0.133,0.066,0.059,0.08,0.0
4.0,5.007391842298417,4.100799560546875e-5,3.814697265625e-5,0.0,0.09,0.06,0.18,0.06,0.0,0.0,0.0,0.167,0.133,0.066,0.059,0.08,0.0
3.0,4.850803866841435,0.000102996826171875,4.410743713378906e-5,0.0,0.09,0.08,0.18,0.06,0.0,0.0,0.0,0.167,0.167,0.066,0.059,0.08,0.0
5.0,3.630493598797212,0.001316070556640625,8.606910705566406e-5,0.0,0.09,0.08,0.18,0.07,0.0,0.0,0.0,0.167,0.167,0.066,0.059,0.08,0.0
5.0,5.60193262876747,5.412101745605469e-5,4.9114227294921875e-5,0.0,0.09,0.08,0.18,0.09,0.0,0.0,0.0,0.167,0.167,0.066,0.059,0.08,0.0
4.0,3.0319923871987817,0.001252889633178711,8.392333984375e-5,0.0,0.09,0.08,0.22,0.09,0.0,0.0,0.0,0.167,0.167,0.066,0.059,0.08,0.0
4.0,3.402051282051282,0.0013248920440673828,8.392333984375e-5,0.0,0.09,0.08,0.24,0.09,0.0,0.0,0.0,0.167,0.167,0.066,0.118,0.08,0.0
5.0,1.7389010989010991,5.1975250244140625e-5,4.7206878662109375e-5,0.0,0.09,0.08,0.24,0.13,0.0,0.0,0.0,0.167,0.167,0.066,0.118,0.08,0.0
4.0,4.888269665761041,0.09538984298706055,9.298324584960938e-5,0.0,0.09,0.08,0.26,0.13,0.0,0.0,0.0,0.167,0.167,0.066,0.118,0.12,0.0
3.0,3.299436713815961,5.507469177246094e-5,4.9114227294921875e-5,0.0,0.09,0.11,0.26,0.13,0.0,0.0,0.0,0.167,0.167,0.066,0.118,0.12,0.0
4.0,4.843831543428182,4.1961669921875e-5,4.00543212890625e-5,0.0,0.09,0.11,0.3,0.13,0.0,0.0,0.0,0.167,0.167,0.066,0.118,0.12,0.0
4.0,4.390476908004581,3.910064697265625e-5,3.719329833984375e-5,0.0,0.09,0.11,0.33,0.13,0.0,0.0,0.0,0.221,0.167,0.066,0.118,0.12,0.0
3.0,4.29256791543361,0.0013439655303955078,8.511543273925781e-5,0.0,0.09,0.13,0.33,0.13,0.0,0.0,0.0,0.221,0.201,0.066,0.118,0.12,0.0
3.0,3.436089098919491,5.316734313964844e-5,4.8160552978515625e-5,0.0,0.09,0.14,0.33,0.13,0.0,0.0,0.0,0.221,0.201,0.132,0.118,0.12,0.0
5.0,5.253499020075216,4.38690185546875e-5,4.100799560546875e-5,0.0,0.09,0.14,0.33,0.15,0.0,0.0,0.0,0.221,0.201,0.132,0.118,0.12,0.0
4.0,2.6201017690022974,0.0013041496276855469,8.702278137207031e-5,0.0,0.09,0.14,0.37,0.15,0.0,0.0,0.0,0.221,0.201,0.132,0.118,0.12,0.0
4.0,3.1073015873015875,0.0013051033020019531,8.416175842285156e-5,0.0,0.09,0.14,0.39,0.15,0.0,0.0,0.0,0.221,0.201,0.132,0.177,0.12,0.0
5.0,1.576470588235294,4.9114227294921875e-5,4.506111145019531e-5,0.0,0.09,0.14,0.39,0.19,0.0,0.0,0.0,0.221,0.201,0.132,0.177,0.12,0.0
4.0,4.5269087178645435,0.0964059829711914,9.202957153320312e-5,0.0,0.09,0.14,0.41,0.19,0.0,0.0,0.0,0.221,0.201,0.132,0.177,0.16,0.0
3.0,3.0024877451712095,5.1021575927734375e-5,4.601478576660156e-5,0.0,0.09,0.17,0.41,0.19,0.0,0.0,0.0,0.221,0.201,0.132,0.177,0.16,0.0
4.0,4.50247970980675,4.315376281738281e-5,4.00543212890625e-5,0.0,0.09,0.17,0.45,0.19,0.0,0.0,0.0,0.221,0.201,0.132,0.177,0.16,0.0
4.0,3.9279822985960005,4.00543212890625e-5,3.719329833984375e-5,0.0,0.09,0.17,0.48,0.19,0.0,0.0,0.0,0.275,0.201,0.132,0.177,0.16,0.0
3.0,3.8314890525410017,3.790855407714844e-5,3.600120544433594e-5,0.0,0.09,0.19,0.48,0.19,0.0,0.0,0.0,0.275,0.235,0.132,0.177,0.16,0.0
5.0,3.098641633953462,0.0013110637664794922,8.392333984375e-5,0.0,0.09,0.19,0.48,0.2,0.0,0.0,0.0,0.275,0.235,0.132,0.177,0.16,0.0
5.0,5.074073732718894,5.316734313964844e-5,4.8160552978515625e-5,0.0,0.09,0.19,0.48,0.22,0.0,0.0,0.0,0.275,0.235,0.132,0.177,0.16,0.0
4.0,2.370266465560583,0.001313924789428711,8.392333984375e-5,0.0,0.09,0.19,0.52,0.22,0.0,0.0,0.0,0.275,0.235,0.132,0.177,0.16,0.0
5.0,2.909118110726859,5.1021575927734375e-5,4.696846008300781e-5,0.0,0.09,0.19,0.52,0.24,0.0,0.0,0.0,0.275,0.235,0.132,0.177,0.16,0.0
5.0,1.3557894736842107,4.220008850097656e-5,3.910064697265625e-5,0.0,0.09,0.19,0.52,0.28,0.0,0.0,0.0,0.275,0.235,0.132,0.177,0.16,0.0
4.0,4.36718954248366,0.09646797180175781,3.814697265625e-5,0.0,0.09,0.19,0.52,0.28,0.0,0.0,0.0,0.275,0.235,0.132,0.118,0.2,0.0
3.0,2.753878246062154,1.5974044799804688e-5,1.4066696166992188e-5,0.0,0.09,0.22,0.52,0.28,0.0,0.0,0.0,0.275,0.235,0.132,0.118,0.2,0.0
4.0,4.370522875816993,1.3828277587890625e-5,1.2874603271484375e-5,0.0,0.09,0.22,0.56,0.28,0.0,0.0,0.0,0.275,0.235,0.132,0.118,0.2,0.0
3.0,3.6825419547477205,1.1205673217773438e-5,1.1205673217773438e-5,0.0,0.09,0.25,0.56,0.28,0.0,0.0,0.0,0.275,0.283,0.132,0.118,0.2,0.0
4.0,3.508514117399599,0.0011858940124511719,2.5033950805664062e-5,0.0,0.09,0.25,0.58,0.28,0.0,0.0,0.0,0.338,0.283,0.132,0.118,0.2,0.0
5.0,2.892962621607783,4.291534423828125e-5,1.5020370483398438e-5,0.0,0.09,0.25,0.58,0.29,0.0,0.0,0.0,0.338,0.283,0.132,0.118,0.2,0.0
5.0,4.872524436944246,1.2874603271484375e-5,1.1920928955078125e-5,0.0,0.09,0.25,0.58,0.31,0.0,0.0,0.0,0.338,0.283,0.132,0.118,0.2,0.0
4.0,2.323652520422395,0.0011799335479736328,2.384185791015625e-5,0.0,0.09,0.25,0.62,0.31,0.0,0.0,0.0,0.338,0.283,0.132,0.118,0.2,0.0
5.0,2.871062210391403,0.0011868476867675781,2.384185791015625e-5,0.0,0.09,0.25,0.62,0.33,0.0,0.0,0.0,0.338,0.283,0.132,0.118,0.2,0.0
5.0,1.1725373134328358,1.5020370483398438e-5,1.2874603271484375e-5,0.0,0.09,0.25,0.62,0.37,0.0,0.0,0.0,0.338,0.283,0.132,0.118,0.2,0.0
4.0,4.362700139470014,0.09654593467712402,9.989738464355469e-5,0.0,0.09,0.25,0.62,0.37,0.0,0.0,0.0,0.338,0.283,0.132,0.059,0.24,0.0
3.0,2.4919073514602212,5.507469177246094e-5,5.0067901611328125e-5,0.0,0.09,0.28,0.62,0.37,0.0,0.0,0.0,0.338,0.283,0.132,0.059,0.24,0.0
4.0,4.414279086838435,4.291534423828125e-5,4.076957702636719e-5,0.0,0.09,0.28,0.66,0.37,0.0,0.0,0.0,0.338,0.283,0.132,0.059,0.24,0.0
3.0,3.680465756018626,3.910064697265625e-5,3.695487976074219e-5,0.0,0.09,0.31,0.66,0.37,0.0,0.0,0.0,0.338,0.331,0.132,0.059,0.24,0.0
4.0,3.555266151809995,0.00011396408081054688,4.482269287109375e-5,0.0,0.09,0.31,0.68,0.37,0.0,0.0,0.0,0.401,0.331,0.132,0.059,0.24,0.0
3.0,2.7062765833200615,0.0013170242309570312,8.58306884765625e-5,0.0,0.09,0.32,0.68,0.37,0.0,0.0,0.0,0.401,0.331,0.198,0.059,0.24,0.0
5.0,4.562184380319044,5.3882598876953125e-5,4.887580871582031e-5,0.0,0.09,0.32,0.68,0.39,0.0,0.0,0.0,0.401,0.331,0.198,0.059,0.24,0.0
4.0,2.575768310911809,0.0012919902801513672,9.989738464355469e-5,0.0,0.09,0.32,0.72,0.39,0.0,0.0,0.0,0.401,0.331,0.198,0.059,0.24,0.0
5.0,2.906043518405603,0.0001277923583984375,5.3882598876953125e-5,0.0,0.09,0.32,0.72,0.41,0.0,0.0,0.0,0.401,0.331,0.198,0.059,0.24,0.0
