selected,total,duration,solving_time,instant,1,2,3,"(1, 3)","(2, 3)","(3, 1)","(3, 2)","(4, 3)"
0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.0,0.0,0.005,0.01,0.001
0.0,0.0,0.0,0.0,1.0,0.06,0.06,0.0,0.0,0.0,0.01,0.02,0.002
0.0,0.0,0.0,0.0,2.0,0.09,0.09,0.0,0.0,0.0,0.015,0.03,0.003
0.0,0.0,0.0,0.0,3.0,0.12,0.12,0.0,0.0,0.0,0.02,0.04,0.004
0.0,0.0,0.0,0.0,4.0,0.15,0.15,0.0,0.0,0.0,0.025,0.05,0.005
0.0,0.0,0.0,0.0,5.0,0.18,0.18,0.0,0.0,0.0,0.03,0.06,0.006
0.0,0.0,0.0,0.0,6.0,0.21,0.21,0.0,0.0,0.0,0.035,0.07,0.007
0.0,0.0,0.0,0.0,7.0,0.24,0.24,0.0,0.0,0.0,0.04,0.08,0.008
0.0,0.0,0.0,0.0,8.0,0.27,0.27,0.0,0.0,0.0,0.045,0.09,0.009
0.0,0.0,0.0,0.0,9.0,0.3,0.3,0.0,0.0,0.0,0.05,0.1,0.01
0.0,0.0,0.0,0.0,10.0,0.33,0.33,0.0,0.0,0.0,0.055,0.11,0.011
0.0,0.0,0.0,0.0,11.0,0.36,0.36,0.0,0.0,0.0,0.06,0.12,0.012
0.0,0.0,0.0,0.0,12.0,0.39,0.39,0.0,0.0,0.0,0.065,0.13,0.013
0.0,0.0,0.0,0.0,13.0,0.42,0.42,0.0,0.0,0.0,0.07,0.14,0.014
0.0,0.0,0.0,0.0,14.0,0.45,0.45,0.0,0.0,0.0,0.075,0.15,0.015
0.0,0.0,0.0,0.0,15.0,0.48,0.48,0.0,0.0,0.0,0.08,0.16,0.016
0.0,0.0,0.0,0.0,16.0,0.51,0.51,0.0,0.0,0.0,0.085,0.17,0.017
0.0,0.0,0.0,0.0,17.0,0.54,0.54,0.0,0.0,0.0,0.09,0.18,0.018
0.0,0.0,0.0,0.0,18.0,0.57,0.57,0.0,0.0,0.0,0.095,0.19,0.019
0.0,0.0,0.0,0.0,19.0,0.6,0.6,0.0,0.0,0.0,0.1,0.2,0.02
0.0,0.0,0.0,0.0,20.0,0.63,0.63,0.0,0.0,0.0,0.105,0.21,0.021
0.0,0.0,0.0,0.0,21.0,0.66,0.66,0.0,0.0,0.0,0.11,0.22,0.022
0.0,0.0,0.0,0.0,22.0,0.69,0.69,0.0,0.0,0.0,0.115,0.23,0.023
0.0,0.0,0.0,0.0,23.0,0.72,0.72,0.0,0.0,0.0,0.12,0.24,0.024
0.0,0.0,0.0,0.0,24.0,0.72,0.72,0.006,0.01,0.005,0.12,0.24,0.025
0.0,0.0,0.0,0.0,25.0,0.72,0.72,0.012,0.02,0.01,0.12,0.24,0.026
0.0,0.0,0.0,0.0,26.0,0.72,0.72,0.018,0.03,0.015,0.12,0.24,0.027
0.0,0.0,0.0,0.0,27.0,0.72,0.72,0.024,0.04,0.02,0.12,0.24,0.028
0.0,0.0,0.0,0.0,28.0,0.72,0.72,0.03,0.05,0.025,0.12,0.24,0.029
0.0,0.0,0.0,0.0,29.0,0.72,0.72,0.036,0.06,0.03,0.12,0.24,0.03
0.0,0.0,0.0,0.0,30.0,0.72,0.72,0.042,0.07,0.035,0.12,0.24,0.031
0.0,0.0,0.0,0.0,31.0,0.72,0.72,0.048,0.08,0.04,0.12,0.24,0.032
0.0,0.0,0.0,0.0,32.0,0.72,0.72,0.054,0.09,0.045,0.12,0.24,0.033
0.0,0.0,0.0,0.0,33.0,0.72,0.72,0.06,0.1,0.05,0.12,0.24,0.034
0.0,0.0,0.0,0.0,34.0,0.72,0.72,0.066,0.11,0.055,0.12,0.24,0.035
0.0,0.0,0.0,0.0,35.0,0.72,0.72,0.072,0.12,0.06,0.12,0.24,0.036
0.0,0.0,0.0,0.0,36.0,0.72,0.72,0.078,0.13,0.065,0.12,0.24,0.037
0.0,0.0,0.0,0.0,37.0,0.72,0.72,0.084,0.14,0.07,0.12,0.24,0.038
0.0,0.0,0.0,0.0,38.0,0.72,0.72,0.09,0.15,0.075,0.12,0.24,0.039
0.0,0.0,0.0,0.0,39.0,0.72,0.72,0.096,0.16,0.08,0.12,0.24,0.04
