selected,total,duration,solving_time,instant,1,2,3,4,"(1, 3)","(2, 3)","(3, 4)","(4, 2)","(3, 1)","(3, 2)","(4, 3)","(2, 4)"
0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.58,0.34,0.077,0.02,0.0,0.0,0.0,0.255,0.76,0.2,0.176,0.0
0.0,0.0,0.0,0.0,0.5,0.72,0.68,0.198,0.04,0.155,0.0,0.0,0.51,0.95,0.4,0.352,0.0
0.0,0.0,0.0,0.0,1.0,0.68,0.73,0.325,0.067,0.33,0.05,0.0,0.615,0.82,0.335,0.482,0.035
0.0,0.0,0.0,0.0,1.5,0.66,0.73,0.453,0.096,0.51,0.11,0.0,0.685,0.75,0.255,0.612,0.09
0.0,0.0,0.0,0.0,2.0,0.58,0.72,0.555,0.123,0.69,0.155,0.0,0.735,0.59,0.22,0.709,0.14
0.0,0.0,0.0,0.0,2.5,0.64,0.71,0.643,0.15,0.81,0.2,0.0,0.745,0.685,0.185,0.806,0.19
0.0,0.0,0.0,0.0,3.0,0.68,0.7,0.688,0.164,0.855,0.24,0.0,0.815,0.78,0.18,0.855,0.19
0.0,0.0,0.0,0.0,3.5,0.7,0.7,0.718,0.194,0.9,0.27,0.025,0.885,0.905,0.225,0.87,0.19
0.0,0.0,0.0,0.0,4.0,0.7,0.7,0.716,0.226,0.92,0.27,0.063,0.875,0.965,0.265,0.853,0.205
0.0,0.0,0.0,0.0,4.5,0.64,0.68,0.699,0.249,0.84,0.29,0.097,0.88,0.995,0.205,0.809,0.22
0.0,0.0,0.0,0.0,5.0,0.66,0.68,0.692,0.259,0.855,0.28,0.118,0.86,0.995,0.245,0.806,0.235
0.0,0.0,0.0,0.0,5.5,0.69,0.68,0.695,0.289,0.965,0.275,0.164,0.85,0.975,0.275,0.796,0.24
0.0,0.0,0.0,0.0,6.0,0.68,0.67,0.685,0.3,0.975,0.285,0.19,0.88,0.95,0.26,0.763,0.22
0.0,0.0,0.0,0.0,6.5,0.68,0.67,0.686,0.298,0.985,0.28,0.192,0.93,0.855,0.28,0.772,0.21
0.0,0.0,0.0,0.0,7.0,0.68,0.66,0.681,0.304,0.985,0.28,0.199,0.92,0.94,0.28,0.764,0.22
0.0,0.0,0.0,0.0,7.5,0.68,0.67,0.682,0.304,0.99,0.285,0.201,0.92,0.965,0.26,0.774,0.22
0.0,0.0,0.0,0.0,8.0,0.67,0.66,0.68,0.307,0.995,0.3,0.209,0.93,0.94,0.2,0.768,0.21
0.0,0.0,0.0,0.0,8.5,0.68,0.67,0.684,0.3,0.995,0.295,0.207,0.96,0.885,0.195,0.768,0.19
0.0,0.0,0.0,0.0,9.0,0.68,0.67,0.684,0.297,0.995,0.29,0.206,0.98,0.935,0.215,0.768,0.18
0.0,0.0,0.0,0.0,9.5,0.66,0.67,0.682,0.298,0.995,0.29,0.209,0.98,0.975,0.215,0.767,0.18
0.0,0.0,0.0,0.0,10.0,0.66,0.67,0.679,0.303,0.995,0.295,0.215,0.96,0.905,0.195,0.764,0.19
0.0,0.0,0.0,0.0,10.5,0.62,0.52,0.555,0.258,0.81,0.255,0.18,0.76,0.85,0.13,0.633,0.165
0.0,0.0,0.0,0.0,11.0,0.5,0.39,0.44,0.209,0.655,0.2,0.14,0.56,0.635,0.1,0.504,0.14
0.0,0.0,0.0,0.0,11.5,0.49,0.33,0.329,0.171,0.495,0.155,0.124,0.435,0.61,0.1,0.397,0.11
0.0,0.0,0.0,0.0,12.0,0.31,0.27,0.235,0.134,0.385,0.11,0.107,0.31,0.39,0.1,0.29,0.08
0.0,0.0,0.0,0.0,12.5,0.21,0.22,0.162,0.102,0.28,0.07,0.086,0.205,0.25,0.1,0.207,0.06
0.0,0.0,0.0,0.0,13.0,0.12,0.14,0.09,0.071,0.165,0.04,0.074,0.1,0.155,0.06,0.122,0.04
0.0,0.0,0.0,0.0,13.5,0.12,0.1,0.057,0.049,0.095,0.02,0.053,0.05,0.155,0.045,0.084,0.025
0.0,0.0,0.0,0.0,14.0,0.02,0.06,0.029,0.028,0.04,0.0,0.034,0.0,0.09,0.03,0.046,0.01
0.0,0.0,0.0,0.0,14.5,0.01,0.03,0.016,0.014,0.02,0.0,0.017,0.0,0.045,0.015,0.023,0.005
0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.003,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
