selected,total,duration,solving_time,instant,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,"(1, 9)","(2, 10)","(3, 11)","(9, 1)","(10, 2)","(11, 3)","(12, 4)","(13, 5)","(14, 6)","(15, 7)","(16, 8)","(10, 9)","(9, 10)","(11, 10)","(10, 11)","(12, 11)","(11, 12)","(13, 12)","(12, 13)","(14, 13)","(13, 14)","(15, 14)","(14, 15)","(16, 15)","(15, 16)","(9, 16)","(16, 9)","(10, 17)","(17, 10)","(12, 17)","(17, 12)","(14, 17)","(17, 14)","(16, 17)","(17, 16)","(10, 18)","(18, 10)","(12, 18)","(18, 12)","(14, 18)","(18, 14)","(16, 18)","(18, 16)"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,0.8,0.7,0.7,0.0,0.0,0.0,0.4,0.7,0.84,0.84,0.82,0.72,0.0,0.0,0.82,0.82,0.0,0.138,0.674,0.0,0.0,0.08,0.084,0.084,0.0,0.0,0.0,0.048,0.084,0.075,0.202,0.345,0.048,0.145,0.01,0.075,0.0,0.0,0.0,0.0,0.01,0.07,0.035,0.093,0.1,0.0,0.0475,0.105,0.0,0.0325,0.0,0.0,0.09,0.1875,0.0,0.0,0.018,0.0,0.0,0.0375,0.0
0.0,0.0,0.0,0.0,4.3909,0.8,0.7,0.7,0.0,0.0,0.0,0.4,0.7,0.84,0.84,0.82,0.72,0.0,0.0,0.82,0.82,0.0,0.138,0.674,0.0,0.0,0.08,0.084,0.084,0.0,0.0,0.0,0.048,0.084,0.075,0.202,0.345,0.048,0.145,0.01,0.075,0.0,0.0,0.0,0.0,0.01,0.07,0.035,0.093,0.1,0.0,0.0475,0.105,0.0,0.0325,0.0,0.0,0.09,0.1875,0.0,0.0,0.018,0.0,0.0,0.0375,0.0
0.0,0.0,0.0,0.0,5.68035,0.8,0.7,0.7,0.0,0.0,0.0,0.4,0.7,0.7,0.82,0.82,0.72,0.0,0.0,0.78,0.82,0.0,0.158,0.674,0.0,0.0,0.08,0.084,0.084,0.0,0.0,0.0,0.048,0.084,0.075,0.211,0.345,0.048,0.145,0.01,0.075,0.0,0.0,0.0,0.0,0.0,0.068,0.035,0.091,0.065,0.0,0.045,0.105,0.0,0.0125,0.0,0.0,0.0725,0.1925,0.0,0.0,0.018,0.025,0.0,0.0375,0.0
0.0,0.0,0.0,0.0,5.68288,0.7,0.7,0.7,0.0,0.0,0.0,0.4,0.7,0.78,0.78,0.8,0.72,0.0,0.0,0.78,0.82,0.0,0.158,0.676,0.0,0.0,0.07,0.084,0.084,0.0,0.0,0.0,0.048,0.084,0.09,0.208,0.35,0.047,0.145,0.01,0.075,0.0,0.0,0.0,0.0,0.0,0.068,0.035,0.091,0.065,0.0,0.045,0.105,0.0,0.0125,0.0,0.0,0.0725,0.1925,0.0,0.0,0.018,0.025,0.0,0.0375,0.0
0.0,0.0,0.0,0.0,5.68558,0.8,0.7,0.7,0.0,0.0,0.0,0.4,0.7,0.82,0.82,0.8,0.72,0.0,0.0,0.78,0.82,0.0,0.148,0.674,0.0,0.0,0.08,0.084,0.084,0.0,0.0,0.0,0.048,0.084,0.105,0.205,0.35,0.047,0.145,0.01,0.075,0.0,0.0,0.0,0.0,0.0,0.068,0.035,0.091,0.065,0.0,0.045,0.105,0.0,0.0125,0.0,0.0,0.0725,0.1775,0.0,0.0,0.018,0.025,0.0,0.0375,0.0
0.0,0.0,0.0,0.0,5.75965,0.8,0.7,0.7,0.0,0.0,0.0,0.4,0.7,0.82,0.82,0.8,0.72,0.0,0.0,0.8,0.8,0.0,0.148,0.674,0.0,0.0,0.08,0.084,0.084,0.0,0.0,0.0,0.048,0.084,0.105,0.205,0.35,0.047,0.145,0.01,0.075,0.0,0.0,0.0,0.0,0.0,0.069,0.03,0.091,0.065,0.0,0.045,0.105,0.0,0.0125,0.0,0.0,0.0725,0.1775,0.0,0.0,0.018,0.025,0.0,0.0375,0.0
0.0,0.0,0.0,0.0,5.77237,0.8,0.7,0.7,0.0,0.0,0.0,0.4,0.7,0.82,0.82,0.8,0.72,0.0,0.0,0.8,0.8,0.0,0.148,0.674,0.0,0.0,0.08,0.084,0.084,0.0,0.0,0.0,0.048,0.084,0.105,0.205,0.35,0.047,0.145,0.01,0.075,0.0,0.0,0.0,0.0,0.0,0.069,0.03,0.091,0.065,0.0,0.045,0.105,0.0,0.0125,0.0,0.0,0.0725,0.1775,0.0,0.0,0.018,0.025,0.0,0.0375,0.0
0.0,0.0,0.0,0.0,5.80377,0.8,0.7,0.7,0.0,0.0,0.0,0.4,0.7,0.82,0.82,0.8,0.72,0.0,0.0,0.8,0.8,0.0,0.148,0.674,0.0,0.0,0.08,0.084,0.084,0.0,0.0,0.0,0.048,0.084,0.105,0.205,0.35,0.047,0.145,0.01,0.075,0.0,0.0,0.0,0.0,0.0,0.069,0.03,0.091,0.065,0.0,0.045,0.105,0.0,0.0125,0.0,0.0,0.0725,0.1775,0.0,0.0,0.018,0.025,0.0,0.0375,0.0
0.0,0.0,0.0,0.0,5.88499,0.8,0.7,0.7,0.0,0.0,0.0,0.0,0.7,0.82,0.82,0.8,0.72,0.0,0.0,0.82,0.82,0.0,0.152,0.674,0.0,0.0,0.08,0.084,0.084,0.0,0.0,0.0,0.0,0.084,0.105,0.207,0.35,0.047,0.145,0.01,0.075,0.0,0.0,0.0,0.01,0.0,0.066,0.035,0.089,0.065,0.0,0.045,0.105,0.0,0.0125,0.0,0.0,0.0725,0.1785,0.0,0.0,0.018,0.03,0.0,0.0375,0.0
